??????,19.82056,-155.46806,4205
?????,31.06194,-7.91611,4167
Mount Boising,-5.8,146.1,4150
El Mela?????,-28.8675,-67.1275,4150
?????,6.075,116.55861,4095
?????,-46.595,-73.34583,4058
?????,4.21667,9.1725,4040
????,51.37361,-125.26333,4019
??????,61.43778,-147.75111,3991
????,53.11056,-119.15667,3959
??,23.47,120.9572667,3952
?????,28.6,61.133,3941
???,47.04917,85.56667,3840
Mount Saramati,25.733,95.033,3826
????,9.48417,-83.48861,3820
?????,-1.69694389,101.2644439,3805
??????,-77.533,167.283,3794
???,35.36056,138.7275,3776
?????,-8.41667,116.46667,3726
???,-43.595,170.14194,3724
???,28.272639,-16.643611,3715
?????,-47.59167,-72.30667,3706
?????,68.9195,-29.8985333,3694
?????,-8.1,112.91667,3676
Mount Suckling,-9.66917,149.01083,3676
??????,15.27917,43.97583,3666
?????,-49.019,-73.504,3623
??????,55.67778,157.72167,3607
Monarch Mountain?????,51.89944,-125.87583,3555
????,37.05333,-3.31139,3479
??????,-3.385,120.02417,3478
?????,3.7975,97.21917,3466
??????,53.317,158.683,3456
???,19.78944,18.55111,3445
?????,-7.239,109.22,3432
????,42.6309917,0.6566861,3404
???-?????,37.75083451,14.99322029,3403
????,-7.765,112.58972,3339
?????,-8.125,114.04167,3332
??????,56.6536333,161.3629667,3307
????,-7.625,111.19167,3265
????,-73.433,-126.667,3110
?????,19.03306,-71.00528,3098
???,-21.09889,55.47889,3069
???????,20.71806,-156.25,3055
????,-8.34194,115.50778,3031
????,-3.17333,129.455,3027
???,23.23738819,57.26379369,3019
????,3.58333,8.76667,3011
?????,0.8054944,-66.0053583,2994
?????,-69.817,-69.717,2987
?????,-8.90667,125.49333,2963
????,6.9875,125.27083,2954
????,-54.44083,-36.55528,2934
????,16.58361,120.88361,2922
???????,-14.02278,48.96583,2876
Moncong Lompotabang????,-5.346679069,119.9316665,2874
??????,54.75,-163.967,2869
????,14.9492694,-24.3403694,2829
